Fighter A,Fighter B,Winner,Weight Class,Method,Round,Time,Event Date,Location,fighter_1_name,fighter_2_name,round,time,time format,referee,overall_stats,per_round_stats
Demetrious JohnsonTim Elliott,00,win,Flyweight,U-DEC,5,5:00,"December 03, 2016","Las Vegas, Nevada, USA",Demetrious Johnson,Tim Elliott,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,"{'fighter_1': {'KD': '0', 'Sig. str.': '7 of 17', 'Sig. str. %': '41%', 'Total str.': '9 of 19', 'Td %': '66%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '1:20'}, 'fighter_2': {'KD': '0', 'Sig. str.': '12 of 22', 'Sig. str. %': '54%', 'Total str.': '23 of 35', 'Td %': '100%', 'Sub. att': '2', 'Rev.': '0', 'Ctrl': '2:20'}}","{'round_1': {'fighter_1': {'KD': '0', 'Sig. str.': '7 of 17', 'Sig. str. %': '41%', 'Total str.': '9 of 19', 'Td %': '66%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '1:20'}, 'fighter_2': {'KD': '0', 'Sig. str.': '12 of 22', 'Sig. str. %': '54%', 'Total str.': '23 of 35', 'Td %': '100%', 'Sub. att': '2', 'Rev.': '0', 'Ctrl': '2:20'}}, 'round_2': {'fighter_1': {'Sig. str': '7 of 17', 'Sig. str. %': '41%', 'Head': '4 of 13', 'Body': '1 of 2', 'Leg': '2 of 2', 'Distance': '5 of 12', 'Clinch': '2 of 5', 'Ground': '0 of 0'}, 'fighter_2': {'Sig. str': '12 of 22', 'Sig. str. %': '54%', 'Head': '8 of 15', 'Body': '4 of 6', 'Leg': '0 of 1', 'Distance': '4 of 11', 'Clinch': '8 of 10', 'Ground': '0 of 1'}}}"
Joseph BenavidezHenry Cejudo,01,win,Flyweight,S-DEC,3,5:00,"December 03, 2016","Las Vegas, Nevada, USA",Joseph Benavidez,Henry Cejudo,3,5:00,3 Rnd (5-5-5),Yves Lavigne,"{'fighter_1': {'KD': '0', 'Sig. str.': '22 of 69', 'Sig. str. %': '31%', 'Total str.': '22 of 69', 'Td %': '---', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:01'}, 'fighter_2': {'KD': '1', 'Sig. str.': '21 of 66', 'Sig. str. %': '31%', 'Total str.': '21 of 66', 'Td %': '33%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:06'}}","{'round_1': {'fighter_1': {'KD': '0', 'Sig. str.': '22 of 69', 'Sig. str. %': '31%', 'Total str.': '22 of 69', 'Td %': '---', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:01'}, 'fighter_2': {'KD': '1', 'Sig. str.': '21 of 66', 'Sig. str. %': '31%', 'Total str.': '21 of 66', 'Td %': '33%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:06'}}, 'round_2': {'fighter_1': {'Sig. str': '22 of 69', 'Sig. str. %': '31%', 'Head': '8 of 47', 'Body': '6 of 11', 'Leg': '8 of 11', 'Distance': '21 of 65', 'Clinch': '1 of 4', 'Ground': '0 of 0'}, 'fighter_2': {'Sig. str': '21 of 66', 'Sig. str. %': '31%', 'Head': '9 of 47', 'Body': '8 of 13', 'Leg': '4 of 6', 'Distance': '16 of 51', 'Clinch': '5 of 15', 'Ground': '0 of 0'}}}"
Jorge MasvidalJake Ellenberger,00,win,Welterweight,KO/TKOPunches,1,4:05,"December 03, 2016","Las Vegas, Nevada, USA",Jake Ellenberger,Jorge Masvidal,1,4:05,3 Rnd (5-5-5),Herb Dean,"{'fighter_1': {'KD': '0', 'Sig. str.': '11 of 31', 'Sig. str. %': '35%', 'Total str.': '11 of 31', 'Td %': '0%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:03'}, 'fighter_2': {'KD': '0', 'Sig. str.': '44 of 63', 'Sig. str. %': '69%', 'Total str.': '50 of 70', 'Td %': '---', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:38'}}","{'round_1': {'fighter_1': {'KD': '0', 'Sig. str.': '11 of 31', 'Sig. str. %': '35%', 'Total str.': '11 of 31', 'Td %': '0%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:03'}, 'fighter_2': {'KD': '0', 'Sig. str.': '44 of 63', 'Sig. str. %': '69%', 'Total str.': '50 of 70', 'Td %': '---', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:38'}}, 'round_2': {'fighter_1': {'Sig. str': '11 of 31', 'Sig. str. %': '35%', 'Head': '7 of 24', 'Body': '1 of 2', 'Leg': '3 of 5', 'Distance': '9 of 26', 'Clinch': '2 of 5', 'Ground': '0 of 0'}, 'fighter_2': {'Sig. str': '44 of 63', 'Sig. str. %': '69%', 'Head': '26 of 40', 'Body': '9 of 12', 'Leg': '9 of 11', 'Distance': '26 of 39', 'Clinch': '12 of 17', 'Ground': '6 of 7'}}}"
Jared CannonierIon Cutelaba,00,win,Light Heavyweight,U-DEC,3,5:00,"December 03, 2016","Las Vegas, Nevada, USA",Ion Cutelaba,Jared Cannonier,3,5:00,3 Rnd (5-5-5),Yves Lavigne,"{'fighter_1': {'KD': '0', 'Sig. str.': '24 of 53', 'Sig. str. %': '45%', 'Total str.': '25 of 54', 'Td %': '100%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '2:20'}, 'fighter_2': {'KD': '0', 'Sig. str.': '11 of 17', 'Sig. str. %': '64%', 'Total str.': '16 of 22', 'Td %': '---', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:35'}}","{'round_1': {'fighter_1': {'KD': '0', 'Sig. str.': '24 of 53', 'Sig. str. %': '45%', 'Total str.': '25 of 54', 'Td %': '100%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '2:20'}, 'fighter_2': {'KD': '0', 'Sig. str.': '11 of 17', 'Sig. str. %': '64%', 'Total str.': '16 of 22', 'Td %': '---', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:35'}}, 'round_2': {'fighter_1': {'Sig. str': '24 of 53', 'Sig. str. %': '45%', 'Head': '15 of 42', 'Body': '7 of 9', 'Leg': '2 of 2', 'Distance': '13 of 31', 'Clinch': '6 of 9', 'Ground': '5 of 13'}, 'fighter_2': {'Sig. str': '11 of 17', 'Sig. str. %': '64%', 'Head': '7 of 13', 'Body': '2 of 2', 'Leg': '2 of 2', 'Distance': '9 of 15', 'Clinch': '2 of 2', 'Ground': '0 of 0'}}}"
Sara McMannAlexis Davis,00,win,Women's Bantamweight,SUBArm Triangle,2,2:52,"December 03, 2016","Las Vegas, Nevada, USA",Sara McMann,Alexis Davis,2,2:52,3 Rnd (5-5-5),Herb Dean,"{'fighter_1': {'KD': '0', 'Sig. str.': '12 of 30', 'Sig. str. %': '40%', 'Total str.': '21 of 39', 'Td %': '100%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:00'}, 'fighter_2': {'KD': '0', 'Sig. str.': '17 of 21', 'Sig. str. %': '80%', 'Total str.': '51 of 58', 'Td %': '---', 'Sub. att': '1', 'Rev.': '0', 'Ctrl': '3:49'}}","{'round_1': {'fighter_1': {'KD': '0', 'Sig. str.': '12 of 30', 'Sig. str. %': '40%', 'Total str.': '21 of 39', 'Td %': '100%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:00'}, 'fighter_2': {'KD': '0', 'Sig. str.': '17 of 21', 'Sig. str. %': '80%', 'Total str.': '51 of 58', 'Td %': '---', 'Sub. att': '1', 'Rev.': '0', 'Ctrl': '3:49'}}, 'round_2': {'fighter_1': {'Sig. str': '12 of 30', 'Sig. str. %': '40%', 'Head': '10 of 28', 'Body': '2 of 2', 'Leg': '0 of 0', 'Distance': '6 of 23', 'Clinch': '0 of 0', 'Ground': '6 of 7'}, 'fighter_2': {'Sig. str': '17 of 21', 'Sig. str. %': '80%', 'Head': '14 of 18', 'Body': '1 of 1', 'Leg': '2 of 2', 'Distance': '7 of 11', 'Clinch': '0 of 0', 'Ground': '10 of 10'}}}"
Brandon MorenoRyan Benoit,01,win,Flyweight,S-DEC,3,5:00,"December 03, 2016","Las Vegas, Nevada, USA",Brandon Moreno,Ryan Benoit,3,5:00,3 Rnd (5-5-5),Mark Smith,"{'fighter_1': {'KD': '0', 'Sig. str.': '17 of 55', 'Sig. str. %': '30%', 'Total str.': '21 of 59', 'Td %': '60%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '1:37'}, 'fighter_2': {'KD': '0', 'Sig. str.': '7 of 32', 'Sig. str. %': '21%', 'Total str.': '7 of 32', 'Td %': '---', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:00'}}","{'round_1': {'fighter_1': {'KD': '0', 'Sig. str.': '17 of 55', 'Sig. str. %': '30%', 'Total str.': '21 of 59', 'Td %': '60%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '1:37'}, 'fighter_2': {'KD': '0', 'Sig. str.': '7 of 32', 'Sig. str. %': '21%', 'Total str.': '7 of 32', 'Td %': '---', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:00'}}, 'round_2': {'fighter_1': {'Sig. str': '17 of 55', 'Sig. str. %': '30%', 'Head': '7 of 42', 'Body': '2 of 5', 'Leg': '8 of 8', 'Distance': '12 of 47', 'Clinch': '5 of 8', 'Ground': '0 of 0'}, 'fighter_2': {'Sig. str': '7 of 32', 'Sig. str. %': '21%', 'Head': '6 of 26', 'Body': '1 of 4', 'Leg': '0 of 2', 'Distance': '7 of 32', 'Clinch': '0 of 0', 'Ground': '0 of 0'}}}"
Ryan HallGray Maynard,00,win,Featherweight,U-DEC,3,5:00,"December 03, 2016","Las Vegas, Nevada, USA",Gray Maynard,Ryan Hall,3,5:00,3 Rnd (5-5-5),Chris Tognoni,"{'fighter_1': {'KD': '0', 'Sig. str.': '5 of 16', 'Sig. str. %': '31%', 'Total str.': '5 of 16', 'Td %': '---', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:58'}, 'fighter_2': {'KD': '0', 'Sig. str.': '12 of 36', 'Sig. str. %': '33%', 'Total str.': '13 of 37', 'Td %': '0%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:00'}}","{'round_1': {'fighter_1': {'KD': '0', 'Sig. str.': '5 of 16', 'Sig. str. %': '31%', 'Total str.': '5 of 16', 'Td %': '---', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:58'}, 'fighter_2': {'KD': '0', 'Sig. str.': '12 of 36', 'Sig. str. %': '33%', 'Total str.': '13 of 37', 'Td %': '0%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:00'}}, 'round_2': {'fighter_1': {'Sig. str': '5 of 16', 'Sig. str. %': '31%', 'Head': '2 of 12', 'Body': '1 of 1', 'Leg': '2 of 3', 'Distance': '5 of 16', 'Clinch': '0 of 0', 'Ground': '0 of 0'}, 'fighter_2': {'Sig. str': '12 of 36', 'Sig. str. %': '33%', 'Head': '1 of 11', 'Body': '7 of 17', 'Leg': '4 of 8', 'Distance': '11 of 35', 'Clinch': '1 of 1', 'Ground': '0 of 0'}}}"
Rob FontMatt Schnell,10,win,Bantamweight,KO/TKOPunch,1,3:47,"December 03, 2016","Las Vegas, Nevada, USA",Rob Font,Matt Schnell,1,3:47,3 Rnd (5-5-5),Yves Lavigne,"{'fighter_1': {'KD': '1', 'Sig. str.': '26 of 33', 'Sig. str. %': '78%', 'Total str.': '32 of 40', 'Td %': '100%', 'Sub. att': '1', 'Rev.': '0', 'Ctrl': '2:10'}, 'fighter_2': {'KD': '0', 'Sig. str.': '14 of 33', 'Sig. str. %': '42%', 'Total str.': '25 of 44', 'Td %': '---', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:00'}}","{'round_1': {'fighter_1': {'KD': '1', 'Sig. str.': '26 of 33', 'Sig. str. %': '78%', 'Total str.': '32 of 40', 'Td %': '100%', 'Sub. att': '1', 'Rev.': '0', 'Ctrl': '2:10'}, 'fighter_2': {'KD': '0', 'Sig. str.': '14 of 33', 'Sig. str. %': '42%', 'Total str.': '25 of 44', 'Td %': '---', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:00'}}, 'round_2': {'fighter_1': {'Sig. str': '26 of 33', 'Sig. str. %': '78%', 'Head': '20 of 27', 'Body': '5 of 5', 'Leg': '1 of 1', 'Distance': '12 of 19', 'Clinch': '1 of 1', 'Ground': '13 of 13'}, 'fighter_2': {'Sig. str': '14 of 33', 'Sig. str. %': '42%', 'Head': '9 of 28', 'Body': '1 of 1', 'Leg': '4 of 4', 'Distance': '14 of 33', 'Clinch': '0 of 0', 'Ground': '0 of 0'}}}"
Dong Hyun MaBrendan O'Reilly,00,win,Lightweight,U-DEC,3,5:00,"December 03, 2016","Las Vegas, Nevada, USA",Dong Hyun Ma,Brendan O'Reilly,3,5:00,3 Rnd (5-5-5),Mark Smith,"{'fighter_1': {'KD': '0', 'Sig. str.': '14 of 19', 'Sig. str. %': '73%', 'Total str.': '57 of 65', 'Td %': '100%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '4:04'}, 'fighter_2': {'KD': '0', 'Sig. str.': '3 of 8', 'Sig. str. %': '37%', 'Total str.': '9 of 14', 'Td %': '0%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:36'}}","{'round_1': {'fighter_1': {'KD': '0', 'Sig. str.': '14 of 19', 'Sig. str. %': '73%', 'Total str.': '57 of 65', 'Td %': '100%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '4:04'}, 'fighter_2': {'KD': '0', 'Sig. str.': '3 of 8', 'Sig. str. %': '37%', 'Total str.': '9 of 14', 'Td %': '0%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:36'}}, 'round_2': {'fighter_1': {'Sig. str': '14 of 19', 'Sig. str. %': '73%', 'Head': '6 of 11', 'Body': '1 of 1', 'Leg': '7 of 7', 'Distance': '1 of 4', 'Clinch': '2 of 2', 'Ground': '11 of 13'}, 'fighter_2': {'Sig. str': '3 of 8', 'Sig. str. %': '37%', 'Head': '2 of 5', 'Body': '0 of 1', 'Leg': '1 of 2', 'Distance': '2 of 5', 'Clinch': '1 of 3', 'Ground': '0 of 0'}}}"
Jamie MoyleKailin Curran,00,win,Women's Strawweight,U-DEC,3,5:00,"December 03, 2016","Las Vegas, Nevada, USA",Kailin Curran,Jamie Moyle,3,5:00,3 Rnd (5-5-5),Chris Tognoni,"{'fighter_1': {'KD': '0', 'Sig. str.': '12 of 38', 'Sig. str. %': '31%', 'Total str.': '28 of 54', 'Td %': '---', 'Sub. att': '1', 'Rev.': '0', 'Ctrl': '2:59'}, 'fighter_2': {'KD': '0', 'Sig. str.': '22 of 39', 'Sig. str. %': '56%', 'Total str.': '42 of 64', 'Td %': '33%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:28'}}","{'round_1': {'fighter_1': {'KD': '0', 'Sig. str.': '12 of 38', 'Sig. str. %': '31%', 'Total str.': '28 of 54', 'Td %': '---', 'Sub. att': '1', 'Rev.': '0', 'Ctrl': '2:59'}, 'fighter_2': {'KD': '0', 'Sig. str.': '22 of 39', 'Sig. str. %': '56%', 'Total str.': '42 of 64', 'Td %': '33%', 'Sub. att': '0', 'Rev.': '0', 'Ctrl': '0:28'}}, 'round_2': {'fighter_1': {'Sig. str': '12 of 38', 'Sig. str. %': '31%', 'Head': '7 of 30', 'Body': '3 of 6', 'Leg': '2 of 2', 'Distance': '6 of 27', 'Clinch': '6 of 11', 'Ground': '0 of 0'}, 'fighter_2': {'Sig. str': '22 of 39', 'Sig. str. %': '56%', 'Head': '13 of 25', 'Body': '9 of 14', 'Leg': '0 of 0', 'Distance': '9 of 21', 'Clinch': '10 of 14', 'Ground': '3 of 4'}}}"
